node_id,node_type,x,y,elevation_m,flood_depth_m
242,road,80.2205551,13.032232,10.0,0.0
243,road,80.2278402,13.0103252,11.0,0.0
244,road,80.2440395,13.0398846,14.0,2.0
245,road,80.2393377,13.0354525,14.0,0.0
246,road,80.240283,13.0403606,11.0,2.0
247,road,80.2395203,13.0353119,14.0,0.0
250,road,80.238357,13.0439749,15.0,4.0
251,road,80.2359683,13.042662,14.0,5.0
252,road,80.1986432,12.991606,10.0,2.0
254,road,80.2183528,12.980154,4.0,0.0
255,road,80.2120106,13.0036069,16.0,0.0
256,road,80.2239779,13.0311818,12.0,0.0
257,road,80.2646986,13.0415277,9.0,0.0
258,road,80.2648372,13.041604,9.0,0.0
259,road,80.2569604,13.0348777,12.0,0.0
260,road,80.2681556,13.0409151,7.0,3.0
261,road,80.2390021,13.032369,9.0,0.0
262,road,80.2376925,13.0344493,16.0,0.0
263,road,80.234591,13.0391015,12.0,0.0
264,road,80.2399443,13.0403922,12.0,3.0
265,road,80.2405087,13.0403928,11.0,2.0
266,road,80.2338434,13.0405658,13.0,1.0
267,road,80.2340633,13.0418188,13.0,3.0
268,road,80.233671,13.040571,13.0,1.0
269,road,80.2319931,13.0410408,13.0,0.0
270,road,80.230261,13.0353196,12.0,0.0
271,road,80.2302385,13.0409311,14.0,0.0
272,road,80.2187689,12.9707573,2.0,0.0
273,road,80.2381057,13.0072634,12.0,0.0
274,road,80.2283395,13.0091482,15.0,0.0
275,road,80.2403241,13.0069116,11.0,0.0
276,road,80.240213,13.0069328,11.0,0.0
277,road,80.2664775,13.0290848,9.0,0.0
278,road,80.2663845,13.0292224,13.0,0.0
279,road,80.2477871,13.0292979,15.0,1.0
280,road,80.2678149,13.0429571,8.0,0.0
281,road,80.2664442,13.0462999,9.0,0.0
282,road,80.2663463,13.0465151,9.0,0.0
283,road,80.2664287,13.0465441,9.0,0.0
284,road,80.2663116,13.0468471,8.0,0.0
285,road,80.2661695,13.0477395,9.0,2.0
286,road,80.2660071,13.0480932,9.0,3.0
287,road,80.2649266,13.0489866,11.0,1.0
288,road,80.230653,13.0307619,8.0,0.0
289,road,80.2116525,13.0090089,12.0,0.0
290,road,80.2258148,13.0103276,14.0,0.0
291,road,80.2404968,13.0403078,11.0,2.0
292,road,80.2159063,13.0314435,14.0,3.0
293,road,80.2118715,13.0320237,14.0,2.0
294,road,80.2183776,13.0321626,11.0,0.0
295,road,80.2200363,13.0322807,10.0,0.0
296,road,80.2120523,13.0340394,13.0,0.0
298,road,80.2527501,12.9826471,3.0,0.0
299,road,80.2253225,13.0159173,8.0,0.0
300,road,80.2431798,12.9813808,4.0,0.0
301,road,80.2002239,13.0016635,17.0,0.0
302,road,80.2307039,12.9816725,8.0,0.0
303,road,80.2253209,12.9782589,8.0,0.0
304,road,80.2556474,12.9876088,11.0,0.0
305,road,80.2475265,13.0419844,12.0,2.0
306,road,80.2042207,13.0137092,12.0,0.0
307,road,80.2525787,12.9794593,5.0,0.0
308,road,80.2521698,12.9799944,7.0,0.0
309,road,80.2038422,13.0094243,11.0,0.0
310,road,80.2035073,13.0093775,11.0,0.0
311,road,80.2397529,13.0311984,13.0,0.0
312,road,80.2595336,12.984273,7.0,0.0
313,road,80.2594446,12.9842823,7.0,0.0
314,road,80.2498838,13.0289857,14.0,0.0
315,road,80.2214953,13.0124371,12.0,0.0
316,road,80.2212602,13.012364,12.0,0.0
317,road,80.224045,13.0145452,7.0,0.0
318,road,80.2472642,13.0051386,9.0,0.0
319,road,80.2498244,12.9942293,9.0,0.0
