src,dst,weight,edge_type
13,188,307.56134485770394,road-road
13,848,320.1795617906267,hospital-road
13,365,301.8426184032483,road-road
13,47,319.9300828570064,road-road
14,830,468.8073772771057,hospital-road
14,597,471.217263762065,hospital-road
14,329,460.1234768046297,road-road
14,669,231.52122614802374,hospital-road
14,123,452.8973909335994,road-road
14,292,452.568836277664,road-road
14,831,156.7040412105562,hospital-road
14,737,191.76869888969983,hospital-road
14,371,16.426951544441533,road-road
14,293,19.400952610543307,road-road
14,386,20.175620048759153,road-road
14,153,27.62906033542216,road-road
14,152,222.49066738325797,road-road
14,369,242.00898248390646,road-road
14,372,222.01363847704968,road-road
14,370,242.23262802298424,road-road
14,136,298.8886588419556,road-road
14,296,240.02033262644238,road-road
14,623,472.2817671607038,hospital-road
14,387,137.34583430833337,road-road
14,154,367.0188657311189,road-road
14,155,325.74676225713597,road-road
14,330,468.14288636805054,road-road
15,274,29.689146659971044,road-road
15,243,150.32638006719367,road-road
15,290,327.9402133087913,road-road
16,545,354.7064879193261,road-road
16,543,331.8659748971978,road-road
16,544,354.9096266917558,road-road
16,542,332.36905275131386,road-road
16,393,319.4968368006589,road-road
16,550,321.2588802178002,power-road
16,392,313.47801989989796,road-road
16,494,31.777807350058218,road-road
16,493,164.9115365866327,road-road
16,328,236.7255225137121,road-road
16,495,16.684391472529786,road-road
16,160,11.834536871560335,road-road
16,441,12.022127959145426,road-road
16,508,31.794858352899084,road-road
16,507,32.96458732607057,road-road
16,165,16.429425363408143,road-road
16,221,36.99026960307355,road-road
16,352,58.70614832836007,road-road
16,496,32.13761168746086,road-road
16,556,681.8668920915145,power-road
16,399,481.94967098766347,road-road
16,716,481.6384504484621,hospital-road
16,359,480.1365637311835,road-road
16,360,491.3849576926244,road-road
16,367,493.39466344521276,road-road
16,426,488.0028996907372,road-road
16,688,475.53592322993455,hospital-road
16,304,468.06701108736803,road-road
16,462,476.5394668432627,road-road
17,108,492.12751002789645,road-road
17,340,490.89095767138696,road-road
17,647,450.63777366274894,hospital-road
17,448,306.9978114516338,road-road
17,879,356.93344006011193,hospital-road
17,687,441.73252645244173,hospital-road
17,318,181.22517435091294,road-road
17,546,289.16251626209703,road-road
17,111,136.1743111159466,road-road
17,158,14.544006447077185,road-road
17,438,148.55283089619732,road-road
17,168,20.166627360808825,road-road
17,429,50.802808420327196,road-road
17,430,165.91843073695424,road-road
17,341,13.581466619161928,road-road
17,159,158.9152387001927,road-road
17,342,31.10407652625705,road-road
17,855,307.95285891352705,hospital-road
17,548,133.8915548068338,power-road
17,518,175.09145220065503,road-road
17,517,175.2560311998981,road-road
17,838,335.90787245514406,hospital-road
17,601,361.82473172021514,hospital-road
18,547,953.5172987942142,power-road
18,105,468.47338623684465,road-road
18,469,458.45252532815596,road-road
18,505,261.5330034275632,road-road
18,416,236.4718911479964,road-road
18,68,254.3102001430112,road-road
18,71,247.18183010932097,road-road
18,62,230.85192194088654,road-road
18,506,247.82084105557394,road-road
18,417,220.56357432052783,road-road
18,836,271.6800744956098,hospital-road
